bench_cell,candidate_id,workload_id,run_id,suite,curve_id,n,m,l,family,mode,status,verified,targets,targets_verified,fb_points,geometric_points,effective_columns,achievable_rank,final_rank,ordinary_queries,pdp_verified,pdp_proved_unsat,pdp_budget,pdp_lift_rejected,verified_relations,novel_rows,descent_attempts,ops_setup,ops_isogeny,ops_factor_base,ops_precompute,ops_queries,ops_pdp,ops_relation_check,ops_matrix_build,ops_relation_la,ops_target_descent,ops_recovery_check,total_operations,amortized_ops_per_target,ops_per_novel_row,rho_operations,rho_floor_operations,ratio_to_rho,ratio_to_floor,S_rps,S_ec_add,count_mac_op,count_anf_op,count_sys_word,count_gf_mul,count_gf_inv,count_gf_lin,count_ec_add,count_ec_lift,count_modr_mul,count_modr_inv,wall_ns,priced_over_wall,peak_rss_bytes,calibration_id,implementation_sha256,git_commit,recorded_at,host,ic_online_ns,rho_online_ns,online_speedup
n13m3l3-prefix-s1-mxl-w1,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8,026858681e66,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8W026858681e66R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,prefix,mxl,complete,True,1,1,8,11,4,,4,134,7,127,0,0,7,4,28,9600497,0,33378382,52461930,13317711356,16819849315,50827728,2158184,120840,6189307619,6028244,36481444095,3.64814e+10,7.54764e+09,4441864,872509,8213.09,41812.1,8.15139e+08,10276.7,66674850,124780,513825,84057,0,0,3655,128,33,4,507188084,0.100702,44236800,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,33160125,320750,0.00967276
n13m3l3-geomtrace-s1-mxl-w1,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9,026858681e66,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9W026858681e66R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,geomtrace,mxl,complete,True,1,1,8,9,4,,4,143,4,139,0,0,4,4,9,9600497,0,37680943,52887297,14764195623,16577626571,17497809,1553984,120840,2286839910,6107563,33754111037,3.37541e+10,7.84022e+09,4441864,872509,7599.09,38686.3,7.54199e+08,9508.43,59255701,46439,499928,82735,0,124,3101,71,19,4,373904750,0.10973,43941888,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,11686666,329042,0.0281553
n13m3l3-random-s1-mxl-w1,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91,026858681e66,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91W026858681e66R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,random,mxl,complete,True,1,1,4,5,2,,2,169,2,167,0,0,2,2,7,9600497,0,15769564,52887297,17449647314,16390036692,6667143,817272,40280,1782108039,3490036,35711064134,3.57111e+10,1.69236e+10,4441864,872509,8039.66,40929.2,7.97925e+08,10059.7,57620149,35162,578851,95458,0,0,3317,104,10,2,491452209,0.0930423,44040192,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,18837291,319167,0.0169434
n13m3l3-prefix-s1-mxl-w2,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8,398002869ca3,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8W398002869ca3R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,prefix,mxl,complete,True,1,1,8,11,4,,4,186,5,181,0,0,5,4,106,9600497,0,33378382,52461930,18488839926,21491787689,34162044,1755384,120840,22272967499,6107563,62391181754,6.23912e+10,1.00041e+10,4441864,872509,14046.2,71507.8,1.39406e+09,17575.4,109241446,332241,926146,150617,0,0,5656,101,23,4,827932166,0.0972285,44138496,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,243847583,388833,0.00159457
n13m3l3-geomtrace-s1-mxl-w2,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9,398002869ca3,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9W398002869ca3R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,geomtrace,mxl,complete,True,1,1,8,9,4,,4,161,4,157,0,0,4,4,10,9600497,0,37680943,52887297,16625388694,18431128438,54358148,1433144,120840,2491785756,6186882,37710570639,3.77106e+10,8.77808e+09,4441864,872509,8489.81,43220.8,8.42602e+08,10623,65695454,55794,562419,92919,0,124,3841,140,17,4,567767917,0.0881215,43892736,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,17221958,492000,0.0285682
n13m3l3-random-s1-mxl-w2,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91,398002869ca3,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91W398002869ca3R1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,random,mxl,complete,True,1,1,4,5,2,,2,284,3,281,0,0,3,2,33,9600497,0,15769564,52887297,29331154362,27307119280,12497814,817272,40280,6665239215,3569355,63398694936,6.33987e+10,2.83258e+10,4441864,872509,14273,72662.5,1.41658e+09,17859.2,100896567,111194,1042262,171034,0,0,5696,107,10,2,965131417,0.0771381,44318720,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,120517458,386250,0.00320493
n13m3l3-prefix-s1-mxl-w3,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8,aa4b90819f2f,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0hc5f3db6725b8Waa4b90819f2fR1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,prefix,mxl,complete,True,1,1,8,11,4,,4,207,5,202,0,0,5,4,77,9600497,0,33378382,52461930,20567194945,23799341515,37497789,2037344,80560,16342581363,6186882,60850361207,6.08504e+10,1.11015e+10,4441864,872509,13699.3,69741.8,1.35964e+09,17141.4,106996501,250574,900809,146521,0,0,5339,110,30,4,839645667,0.0860528,44285952,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,110691708,367500,0.00332003
n13m3l3-geomtrace-s1-mxl-w3,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9,aa4b90819f2f,IC1N13Ckb1fb8PDP3xlRCsampleLAgaussTDpdpISO0h4544f7044de9Waa4b90819f2fR1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,geomtrace,mxl,complete,True,1,1,8,9,4,,4,111,4,107,0,0,4,4,30,9600497,0,37680943,52887297,11459127121,13270446872,26664225,1674824,120840,6707679491,6266201,31572148311,3.15721e+10,6.18948e+09,4441864,872509,7107.86,36185.5,7.05446e+08,8893.78,55609551,112130,463749,76839,0,124,3037,92,22,4,432854292,0.0954406,44171264,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,49520166,366375,0.0073985
n13m3l3-random-s1-mxl-w3,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91,aa4b90819f2f,IC1N13Ckb1fb4PDP3xlRCsampleLAgaussTDpdpISO0h9cac8f094a91Waa4b90819f2fR1,primary,EC1N13Ckb1h0f132ba0b5e2,13,3,3,random,mxl,complete,True,1,1,4,5,2,,2,284,2,282,0,0,2,2,91,9600497,0,15769564,52887297,29308374697,26853335837,26867594,696432,40280,18396761962,3648674,74667982834,7.4668e+10,2.80946e+10,4441864,872509,16810.1,85578.5,1.66838e+09,21033.8,118092819,268427,1233024,202122,0,0,6381,98,7,2,820798458,0.108304,44171264,ICBCAL1ha3f79d4aaca9,84deecf5bc97595a676af8ed8ffafb971f8788d1ab364faed745e3978dca6792,5f25ced00bd93f9e890055928ed5c147b33053fa,2026-09-26T03:26:46Z,Adams-MacBook-Pro.local,185487667,3416958,0.0184215
