engine,curve,m,n,l,seed,threads,vars,monomials,build_seconds,status,seconds,wall_seconds,verified,detail
mitm,koblitz,5,17,3,1,1,15,0,0.003,solved,0.0190,0.0190,True,"{""group_ops"":458}"
mitm,koblitz,5,17,3,2,1,15,0,0.015,solved,0.0188,0.0188,True,"{""group_ops"":459}"
mitm,koblitz,5,17,4,1,1,20,0,0.004,solved,0.1263,0.1263,True,"{""group_ops"":2464}"
mitm,koblitz,5,17,4,2,1,20,0,0.011,solved,0.1114,0.1115,True,"{""group_ops"":2303}"
mitm,koblitz,5,17,5,1,1,25,0,0.001,solved,0.4732,0.4733,True,"{""group_ops"":9140}"
mitm,koblitz,5,17,5,2,1,25,0,0.001,solved,0.4794,0.4795,True,"{""group_ops"":9250}"
mitm,koblitz,5,17,6,1,1,30,0,0.001,solved,2.7807,2.7826,True,"{""group_ops"":52395}"
mitm,koblitz,5,17,6,2,1,30,0,0.002,solved,2.7789,2.7797,True,"{""group_ops"":52395}"
mitm,koblitz,5,31,3,1,1,15,0,0.215,solved,0.0330,0.0330,True,"{""group_ops"":289}"
mitm,koblitz,5,31,3,2,1,15,0,0.077,solved,0.0330,0.0330,True,"{""group_ops"":289}"
mitm,koblitz,5,31,4,1,1,20,0,0.004,solved,0.1535,0.1554,True,"{""group_ops"":973}"
mitm,koblitz,5,31,4,2,1,20,0,0.003,solved,0.1513,0.1513,True,"{""group_ops"":973}"
mitm,koblitz,5,31,5,1,1,25,0,0.004,solved,1.4857,1.4863,True,"{""group_ops"":7937}"
mitm,koblitz,5,31,5,2,1,25,0,0.005,solved,1.4547,1.4550,True,"{""group_ops"":7846}"
mitm,koblitz,5,31,6,1,1,30,0,0.004,solved,12.4637,12.4719,True,"{""group_ops"":62675}"
mitm,koblitz,5,31,6,2,1,30,0,0.004,solved,12.6547,12.6646,True,"{""group_ops"":63243}"
mitm,koblitz,5,61,3,1,1,15,0,0.158,solved,0.3064,0.3064,True,"{""group_ops"":459}"
mitm,koblitz,5,61,3,2,1,15,0,0.113,solved,0.3458,0.3458,True,"{""group_ops"":493}"
mitm,koblitz,5,61,4,1,1,20,0,0.033,solved,1.0023,1.0044,True,"{""group_ops"":1336}"
mitm,koblitz,5,61,4,2,1,20,0,0.047,solved,0.9941,0.9945,True,"{""group_ops"":1337}"
mitm,koblitz,5,61,5,1,1,25,0,0.070,solved,4.3931,4.3963,True,"{""group_ops"":5467}"
mitm,koblitz,5,61,5,2,1,25,0,0.023,solved,4.5083,4.5131,True,"{""group_ops"":5550}"
mitm,koblitz,5,61,6,1,1,30,0,0.022,solved,30.7493,30.7899,True,"{""group_ops"":36586}"
mitm,koblitz,5,61,6,2,1,30,0,0.025,solved,30.1784,30.1874,True,"{""group_ops"":36235}"
