n31-m3-ell6-seed101 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell6-seed102 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell6-seed103 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell6-seed104 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell6-seed105 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell6-seed106 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell3-seed101 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n31-m3-ell4-seed101 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n11-m3-ell2-seed101 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
n83-m3-ell2-seed101 {'python': 'solved', 'native-dict': 'solved', 'native-packed': 'solved'}
