n31-m3-ell6-seed101 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell6-seed102 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell6-seed103 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell6-seed104 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell6-seed105 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell6-seed106 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell3-seed101 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n31-m3-ell4-seed101 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n11-m3-ell2-seed101 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
n83-m3-ell2-seed101 {'baseline': 'solved', 'row-check': 'solved', 'ordered': 'solved'}
